"berichtsjahr";"tourismusjahr";"saison";"monat";"gkz";"gemeinde";"hauptgliederung";"status";"ankuenfte";"naechtigungen"
1987;1987;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";416;2595
1987;1987;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1274;11756
1987;1987;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";257;2156
1987;1987;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";491;3321
1987;1987;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";976;11068
1987;1987;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";230;1944
1987;1987;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";440;2973
1987;1987;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";519;5347
1987;1987;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";70;472
1987;1987;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";354;1278
1987;1987;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";303;1737
1987;1987;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";7;58
1987;1988;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";15;50
1987;1988;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";29;104
1987;1988;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";212;1294
1987;1988;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";541;3384
1987;1988;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";81;916
1988;1988;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";404;2056
1988;1988;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";534;4033
1988;1988;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";71;977
1988;1988;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";589;3485
1988;1988;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1490;8848
1988;1988;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";134;1170
1988;1988;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";534;3079
1988;1988;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1210;7658
1988;1988;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";112;1356
1988;1988;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";255;1605
1988;1988;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";531;3683
1988;1988;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";146;1624
1988;1988;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";279;1104
1988;1988;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";218;1354
1988;1988;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";22;254
1988;1988;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";308;1448
1988;1988;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";342;2580
1988;1988;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";52;318
1988;1988;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";509;3448
1988;1988;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1118;10900
1988;1988;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";142;1372
1988;1988;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";509;3578
1988;1988;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";960;10951
1988;1988;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";302;3329
1988;1988;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";371;2756
1988;1988;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";473;4956
1988;1988;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";59;667
1988;1988;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";274;1621
1988;1988;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";211;1908
1988;1988;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";20;141
1988;1989;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";187;1031
1988;1989;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";415;2178
1988;1989;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";141;1923
1989;1989;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";391;2250
1989;1989;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";597;4513
1989;1989;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";68;761
1989;1989;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";501;2963
1989;1989;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1416;8484
1989;1989;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";113;1137
1989;1989;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";776;4694
1989;1989;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1994;12971
1989;1989;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";64;639
1989;1989;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";132;799
1989;1989;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";187;1687
1989;1989;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";150;1687
1989;1989;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";333;1082
1989;1989;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";386;2305
1989;1989;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";35;272
1989;1989;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";334;1821
1989;1989;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";274;2285
1989;1989;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";2;16
1989;1989;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";497;3802
1989;1989;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1174;11014
1989;1989;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";180;1649
1989;1989;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";380;2923
1989;1989;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1103;12891
1989;1989;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";254;2649
